"Word","Translation","Prediction_vanilla","Prediction_attention","Result_attention"
"haashie","हाशिए","हाशी","हाशिए","Yes"
"ambikapur","अम्बिकापुर","अंबिकापुर","अम्बिकापुर","Yes"
"sametati","समेटती","समेतती","समेटती","Yes"
"dayaalapuraa","दयालपुरा","दयालापुरा","दयालपुरा","Yes"
"saahityotsav","साहित्योत्सव","साहित्योत्तव","साहित्योत्सव","Yes"
"shikayatkarta","शिकायतकर्ता","शिकायकतर्ता","शिकायतकर्ता","Yes"
"holt","होल्ट","हॉल्ट","होल्ट","Yes"
"vankshetra","वनक्षेत्र","वंक्षेत्र","वनक्षेत्र","Yes"
"latakakar","लटककर","लटकाकर","लटककर","Yes"
"saraaymohiuddinpur","सरायमोहिउद्दीनपुर","सरामियोहोद्दनपुर","सरायमोहिउद्दीनपुर","Yes"
"capacitor","कैपेसिटर","कैपासिटर","कैपेसिटर","Yes"
"canterbury","कैंटरबरी","केंटरब्यूरी","कैंटरबरी","Yes"
"kaathiyavadi","काठियावड़ी","काठियावाडी","काठियावड़ी","Yes"
"beraharamee","बेरहरमी","बेरहरामी","बेरहरमी","Yes"
"rikailleebreshan","रिकैलीब्रेशन","रिकलीबर्शेशन","रिकैलीब्रेशन","Yes"
"pace","पेस","पेसी","पेस","Yes"
"catlin","कैटलिन","कैटिलिन","कैटलिन","Yes"
"gruhnagar","गृहनगर","ग्रुहनगर","गृहनगर","Yes"
"wonder","वंडर","वोंडर","वंडर","Yes"
"mahaanagarawaasiyon","महानगरवासियों","महानगरावासियों","महानगरवासियों","Yes"
"convention","कन्वेंशन","कनवेंशन","कन्वेंशन","Yes"
"singar","सिंगार","सिंगर","सिंगार","Yes"
"balkrishna","बालकृष्ण","बालकृष्णा","बालकृष्ण","Yes"
"paimaish","पैमाइश","पैमैश","पैमाइश","Yes"
"kabaddi","कबड्डी","कबाद्दी","कबड्डी","Yes"
"taja","ताजा","तजा","ताजा","Yes"
"luis","लुइस","लूइस","लुइस","Yes"
"ghasi","घासी","घसी","घासी","Yes"
"naameegiraamee","नामीगिरामी","नामीगीरामी","नामीगिरामी","Yes"
"manokaamnaaon","मनोकामनाओं","मनोकनमानों","मनोकामनाओं","Yes"
"politheenon","पॉलिथीनों","पोलीथीनों","पॉलिथीनों","Yes"
"pratirodhaatmak","प्रतिरोधात्मक","प्रतिरोधात्मक्","प्रतिरोधात्मक","Yes"
"wlaad","व्लाद","व्लाड","व्लाद","Yes"
"chatakaate","चटकाते","चटकते","चटकाते","Yes"
"utsaahawarddhan","उत्साहवर्द्धन","उत्साहावर्द्धन","उत्साहवर्द्धन","Yes"
"deccan","डेक्कन","डिक्कन","डेक्कन","Yes"
"mahkane","महकने","महकाने","महकने","Yes"
"rukte","रुकते","रुक्ते","रुकते","Yes"
"broke","ब्रोक","ब्रोके","ब्रोक","Yes"
"pick","पिक","पीकेआईएक","पिक","Yes"
"lagavaatee","लगवाती","लगवती","लगवाती","Yes"
"krutyaa","कृत्या","क्रुत्या","कृत्या","Yes"
"prathmikta","प्राथमिकता","प्रामृतका","प्राथमिकता","Yes"
